         183759 function calls (179708 primitive calls) in 0.294 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      423    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       20    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       52    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
        3    0.000    0.000    0.005    0.002 subprocess.py:1703(_execute_child)
       12    0.000    0.000    0.003    0.000 typing.py:2267(__new__)
       85    0.000    0.000    0.004    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        7    0.000    0.000    0.004    0.001 enum.py:483(_create_)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
       74    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      145    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
      319    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      878    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       96    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       38    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      703    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
      597    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 display.py:78(Display)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
       35    0.000    0.000    0.001    0.000 __init__.py:50(modules_filter)
       50    0.000    0.000    0.006    0.000 typing.py:407(__getitem__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scanner.py:46(Scanner)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
       36    0.000    0.000    0.001    0.000 getlimits.py:112(_float_to_str)
       38    0.000    0.000    0.017    0.000 sre_compile.py:622(_code)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
    43/35    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
  102/101    0.000    0.000    0.009    0.000 typing.py:401(__getitem__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
      162    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
      346    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      482    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 icccm.py:1(<module>)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      240    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       47    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        2    0.000    0.000    0.005    0.002 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        2    0.000    0.000    0.000    0.000 structs.py:45(GCValues)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
      107    0.000    0.000    0.001    0.000 re.py:187(match)
      225    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
        1    0.000    0.000    0.000    0.000 _iotools.py:228(NameValidator)
       20    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
      307    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 selectors.py:207(_BaseSelectorImpl)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       20    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
